Consumers,Market price of fish (BDT per kg),,,,,,,,,
,Carps,,Pangas,,Tilapia,,Other catfishes,,,
,Market_Carp_1,Market_Carp_2,Market_Pang_1,Market_Pang_2,Market_Tila_1,Market_Tila_2,Market_OtherCat_1,Market_OtherCat_2,Category,Cat_2
M1,145,170,100,115,115,115,380,350,Aratdar,MiddleMan
M2,145,160,100,115,115,110,380,350,Aratdar,MiddleMan
M3,145,160,100,110,115,115,380,350,Aratdar,MiddleMan
M4,145,170,100,115,110,115,380,350,Aratdar,MiddleMan
M5,145,160,100,110,110,115,380,350,Aratdar,MiddleMan
M6,145,160,100,115,110,100,380,350,Aratdar,MiddleMan
M7,145,150,100,115,110,105,380,350,Aratdar,MiddleMan
M8,145,155,100,110,110,110,380,350,Aratdar,MiddleMan
M9,145,155,100,105,110,105,380,350,Aratdar,MiddleMan
M10,145,170,100,115,110,105,380,340,Aratdar,MiddleMan
M11,145,155,100,120,105,105,380,355,Aratdar,MiddleMan
M12,140,150,100,110,105,105,380,350,Aratdar,MiddleMan
M13,140,155,100,115,105,110,370,350,Aratdar,MiddleMan
M14,140,170,100,105,105,110,370,350,Aratdar,MiddleMan
M15,140,170,100,115,105,105,370,340,Aratdar,MiddleMan
M16,140,160,100,110,105,100,350,320,Paikar,MiddleMan
R1,160,175,115,125,125,120,420,400,Paikar,Retailer
R2,160,165,115,125,125,125,420,390,Paikar,Retailer
R3,160,175,115,135,125,120,420,380,Paikar,Retailer
R4,160,175,115,120,125,115,420,380,Paikar,Retailer
R5,160,190,115,135,125,110,420,400,Paikar,Retailer
R6,160,190,115,125,125,120,420,370,Paikar,Retailer
R7,160,175,115,130,125,125,420,400,Paikar,Retailer
R8,160,180,115,135,125,130,420,400,Paikar,Retailer
R9,155,180,115,130,125,120,420,390,Paikar,Retailer
R10,155,185,115,125,125,125,420,370,Paikar,Retailer
R11,155,165,115,125,125,120,410,380,Paikar,Retailer
R12,155,180,115,125,125,120,410,380,Paikar,Retailer
R13,155,170,115,125,125,120,410,360,Paikar,Retailer
R14,155,180,115,125,125,125,410,380,Paikar,Retailer
R15,155,170,115,125,125,120,410,380,Paikar,Retailer
R16,150,180,115,125,125,120,410,380,Paikar,Retailer
R17,150,170,110,120,125,120,410,360,Paikar,Retailer
R18,150,160,110,125,125,120,400,380,Paikar,Retailer
R19,150,160,110,120,125,120,400,350,Paikar,Retailer
R20,150,170,110,125,125,125,400,350,Paikar,Retailer
R21,150,165,110,115,125,115,400,360,Paikar,Retailer
R22,150,170,110,125,125,120,400,350,Paikar,Retailer
R23,150,165,110,115,125,120,400,350,Paikar,Retailer
R24,150,160,110,115,120,115,400,360,Paikar,Retailer
R25,150,180,110,125,120,120,400,350,Paikar,Retailer
R26,150,165,110,115,120,110,400,370,Paikar,Retailer
R27,150,170,110,115,120,110,400,360,Paikar,Retailer
R28,150,170,110,120,120,105,400,350,Paikar,Retailer
R29,150,165,110,115,120,120,400,360,Paikar,Retailer
R30,150,180,105,115,120,120,400,350,Paikar,Retailer
R31,150,170,105,120,120,115,400,370,Paikar,Retailer
R32,150,170,105,115,120,120,400,375,Paikar,Retailer
R33,150,165,105,120,120,120,400,350,Paikar,Retailer
R34,150,170,105,115,120,115,400,350,Paikar,Retailer
R35,150,180,105,110,120,125,400,360,Paikar,Retailer
R36,150,170,105,115,120,125,400,365,Paikar,Retailer
R37,150,180,105,115,120,115,400,380,Paikar,Retailer
R38,150,165,105,115,120,115,400,350,Paikar,Retailer
R39,150,170,105,120,120,125,400,370,Paikar,Retailer
R40,150,180,105,120,120,115,390,350,Paikar,Retailer
R41,150,165,105,110,120,115,390,360,Paikar,Retailer
R42,150,175,105,115,115,110,390,350,Paikar,Retailer
R43,150,170,105,115,115,110,390,360,Paikar,Retailer
R44,150,160,105,115,115,110,390,350,Paikar,Retailer
R45,150,180,105,110,115,120,390,360,Paikar,Retailer
R46,150,165,105,110,115,115,390,350,Paikar,Retailer
R47,145,170,105,110,115,115,390,350,Paikar,Retailer
R48,145,160,105,115,115,105,390,350,Paikar,Retailer
R49,145,170,100,110,115,115,390,350,Paikar,Retailer
R50,145,160,100,125,115,120,380,350,Paikar,Retailer
C1,170,200,125,135,150,140,480,450,Consumer,Consumer
C2,170,190,125,140,150,140,470,450,Consumer,Consumer
C3,170,180,125,140,145,135,460,420,Consumer,Consumer
C4,170,200,125,140,140,125,450,400,Consumer,Consumer
C5,170,190,125,140,140,140,450,400,Consumer,Consumer
C6,170,190,125,140,140,135,450,420,Consumer,Consumer
C7,170,180,125,135,140,130,450,420,Consumer,Consumer
C8,170,180,125,135,140,125,450,400,Consumer,Consumer
C9,170,200,125,130,140,130,450,420,Consumer,Consumer
C10,170,190,125,135,140,130,450,420,Consumer,Consumer
C11,170,200,125,135,140,135,450,400,Consumer,Consumer
C12,170,210,125,140,140,140,450,420,Consumer,Consumer
C13,170,190,125,130,140,135,450,420,Consumer,Consumer
C14,170,180,125,130,140,135,450,420,Consumer,Consumer
C15,170,195,125,140,135,135,450,420,Consumer,Consumer
C16,170,195,125,140,135,130,450,400,Consumer,Consumer
C17,170,200,125,135,135,140,450,420,Consumer,Consumer
C18,170,210,125,135,135,130,450,425,Consumer,Consumer
C19,170,190,120,140,135,130,450,420,Consumer,Consumer
C20,165,190,120,130,135,120,450,400,Consumer,Consumer
C21,165,200,120,135,135,130,450,430,Consumer,Consumer
C22,165,180,120,135,135,130,450,400,Consumer,Consumer
C23,165,165,120,130,135,120,450,400,Consumer,Consumer
C24,165,185,120,135,135,120,450,420,Consumer,Consumer
C25,165,175,120,130,135,120,450,425,Consumer,Consumer
C26,165,180,120,130,135,130,450,425,Consumer,Consumer
C27,165,175,120,130,135,135,440,400,Consumer,Consumer
C28,165,200,120,130,135,125,440,400,Consumer,Consumer
C29,165,180,120,135,135,125,440,400,Consumer,Consumer
C30,165,180,120,135,135,130,435,410,Consumer,Consumer
C31,160,170,120,130,135,130,430,380,Consumer,Consumer
C32,160,200,120,125,135,135,430,400,Consumer,Consumer
C33,160,190,120,135,135,135,430,380,Consumer,Consumer
C34,160,180,120,125,135,140,430,380,Consumer,Consumer
C35,160,180,120,130,135,140,430,400,Consumer,Consumer
C36,160,190,120,120,135,140,430,400,Consumer,Consumer
C37,160,190,120,140,135,130,430,400,Consumer,Consumer
C38,160,200,120,130,135,130,430,400,Consumer,Consumer
C39,160,190,120,130,135,130,425,400,Consumer,Consumer
C40,160,180,120,135,130,125,425,380,Consumer,Consumer
C41,160,200,120,130,130,130,425,390,Consumer,Consumer
C42,160,180,120,125,130,130,425,380,Consumer,Consumer
C43,160,180,120,130,130,120,425,400,Consumer,Consumer
C44,160,170,120,130,130,125,425,400,Consumer,Consumer
C45,160,200,120,135,130,130,425,400,Consumer,Consumer
C46,160,190,120,125,130,120,420,380,Consumer,Consumer
C47,160,165,120,130,130,120,420,370,Consumer,Consumer
C48,160,180,115,125,130,135,420,350,Consumer,Consumer
C49,160,190,115,130,130,120,420,380,Consumer,Consumer
C50,160,170,115,130,130,125,420,380,Consumer,Consumer
C51,160,170,115,130,130,115,420,380,Consumer,Consumer
C52,160,190,115,130,125,120,420,400,Consumer,Consumer
C53,160,175,115,135,125,120,420,380,Consumer,Consumer
C54,160,170,115,125,125,130,420,370,Consumer,Consumer
C55,160,190,115,130,125,125,420,380,Consumer,Consumer
