FarmID,No. of Labor,,,,,,Labor cost per day (USD),,,,,,Production cost per kg fish (),,,,,,,,Feed cost per kg,,,,,,,,Pharmaceutical cost per hectre,,,,,,,,Fish selling price (BDT/kg),,,,,,,
,Permanent Labor,,Seasonal labor,,Non-aquaculture labor,,Permanent Labor,,Seasonal labor,,Non-aquaculture labor,,Carps,,Pangas,,Tilapia,,Other catfishes,,Carps,,Pangas,,Tilapia,,Other catfishes,,Carps,,Pangas,,Tilapia,,Other catfishes,,Carps,,Pangas,,Tilapia,,Other catfish,
,PermLab_1,PermLab_2,SeasLab_1,SeasLab_2,NonAqLab_1,NonAqLab_2,PermLabCOST_1,PermLabCOST_2,SeasLabCOST_1,SeasLabCOST_2,NonAqLabCOST_1,NonAqLabCOST_2,ProdCOST_Carp_1,ProdCOST_Carp_2,ProdCOST_Pang_1,ProdCOST_Pang_2,ProdCOST_Tila_1,ProdCOST_Tila_2,ProdCOST_OtherCat_1,ProdCOST_OtherCat_2,FeedCOST_Carp_1,FeedCOST_Carp_2,FeedCOST_Pang_1,FeedCOST_Pang_2,FeedCOST_Tila_1,FeedCOST_Tila_2,FeedCOST_OtherCat_1,FeedCOST_OtherCat_2,PharmCOST_Carp_1,PharmCOST_Carp_2,PharmCOST_Pang_1,PharmCOST_Pang_2,PharmCOST_Tila_1,PharmCOST_Tila_2,PharmCOST_OtherCat_1,PharmCOST_OtherCat_2,GatePRICE_Carp_1,GatePRICE_Carp_2,GatePRICE_Pang_1,GatePRICE_Pang_2,GatePRICE_Tila_1,GatePRICE_Tila_2,GatePRICE_OtherCat_1,GatePRICE_OtherCat_2
F1,4,3,5,4,3,1,3.57,3.57,4.76,3.57,4.76,3.33,93,110,75,82,70,75,150,200,25,30,42,45,35,38,52,58,35000,38000,15000,20000,25000,25000,40000,40000,115,105,82,72,85,80,250,220
F2,0,0,2,2,1,1,NA,NA,3.57,2.97,3.33,2.97,95,110,NA,NA,NA,NA,NA,NA,28,30,NA,NA,NA,NA,NA,NA,40000,20000,NA,NA,NA,NA,NA,NA,120,105,NA,NA,NA,NA,NA,NA
F3,3,2,2,3,1,0,4.76,3.96,4.17,3.57,4.76,NA,NA,NA,75,85,68,75,160,200,NA,NA,40,45,36,40,50,55,NA,NA,20000,22000,20000,22000,45000,50000,NA,NA,85,78,80,75,260,220
F4,1,1,1,0,0,0,3.96,3.57,3.57,3.57,NA,NA,97,115,74,80,72,80,180,220,26,32,35,40,32,35,55,58,37000,40000,20000,25000,22000,24000,35000,38000,120,110,88,75,87,80,240,220
F5,3,2,3,4,1,1,3.17,3.17,2.97,2.97,3.57,2.97,89,100,68,75,65,70,200,220,30,32,38,40,34,40,48,52,30000,35000,12000,15000,18000,20000,40000,45000,115,100,90,75,88,82,280,250
F6,0,0,2,2,0,0,NA,NA,2.97,2.97,NA,NA,91,100,70,NA,NA,NA,NA,NA,32,35,NA,NA,NA,NA,45,NA,45000,50000,NA,NA,NA,NA,NA,NA,110,100,NA,NA,NA,NA,NA,NA
F7,0,0,2,1,0,0,NA,NA,3.57,2.97,NA,NA,93,NA,72,80,75,82,170,190,NA,NA,40,42,34,36,48,50,NA,NA,15000,18000,25000,25000,40000,45000,NA,NA,85,12,90,80,300,260
F8,2,1,2,3,2,0,3.96,3.96,4.76,3.57,2.97,NA,95,115,75,85,70,80,150,180,28,32,40,45,36,40,48,50,30000,35000,18000,20000,25000,25000,50000,50000,105,90,95,80,82,75,280,250
F9,4,2,2,3,2,1,3.57,3.57,4.76,4.76,2.97,2.97,96,110,72,80,72,80,160,180,25,30,42,45,36,38,50,55,35000,38000,22000,25000,22000,25000,42000,50000,125,100,93,80,84,88,270,250
F10,0,0,1,0,0,0,NA,NA,3.57,3.57,NA,NA,92,105,75,82,68,75,180,210,32,36,45,48,35,40,45,52,50000,55000,20000,22000,20000,22000,40000,45000,115,100,88,78,80,75,280,250
F11,3,2,3,3,2,1,2.77,2.77,5.35,4.76,3.57,3.57,88,NA,70,75,65,70,200,230,30,NA,39,42,40,44,55,60,NA,NA,22000,25000,15000,15000,30000,35000,NA,NA,85,78,75,70,300,260
F12,0,0,0,0,1,1,NA,NA,NA,NA,3.57,2.97,87,105,70,78,68,72,170,200,30,34,42,45,38,42,60,65,55000,60000,20000,23000,30000,32000,35000,38000,120,110,92,80,78,70,260,220
F13,0,0,0,0,1,0,NA,NA,NA,NA,3.57,NA,89,100,68,75,NA,NA,NA,NA,32,35,42,42,NA,NA,NA,NA,40000,50000,15000,18000,NA,NA,NA,NA,125,105,95,85,NA,NA,NA,NA
F14,2,1,3,3,2,0,4.36,4.36,4.76,3.57,4.76,NA,NA,NA,72,80,72,75,150,170,NA,NA,46,48,36,40,58,60,NA,NA,10000,12000,15000,17000,40000,42000,125,110,92,85,80,75,250,220
F15,1,1,3,3,1,0,4.76,4.36,5.35,5.35,3.57,NA,92,110,75,80,75,80,150,180,26,30,35,38,35,38,56,60,45000,47000,18000,22000,18000,20000,45000,48000,105,95,90,80,80,75,265,230
F16,1,1,3,2,2,0,3.57,3.17,5.35,4.76,2.97,NA,95,110,NA,NA,76,82,170,200,NA,NA,NA,NA,35,38,52,55,NA,NA,NA,NA,15000,15000,50000,54000,NA,NA,NA,NA,80,72,275,240
F17,4,2,5,4,2,0,3.17,3.17,3.57,3.33,3.33,NA,100,120,72,78,74,80,180,200,25,30,40,42,40,42,45,48,30000,35000,15000,18000,20000,20000,45000,48000,120,100,88,80,82,75,280,240
F18,4,2,3,4,2,1,4.36,1.36,4.76,3.57,3.57,3.57,95,105,70,76,75,80,180,210,28,32,36,38,32,35,55,60,38000,40000,20000,22000,18000,20000,50000,60000,110,95,95,85,78,70,300,270
F19,3,1,3,3,0,0,3.96,4.36,4.76,3.57,NA,NA,NA,NA,70,80,70,75,150,170,NA,NA,35,40,36,38,50,55,NA,NA,15000,17000,22000,20000,60000,60000,NA,NA,85,77,76,72,310,260
F20,0,0,2,2,2,1,NA,NA,5.35,4.76,4.76,3.57,NA,NA,NA,NA,68,72,200,220,NA,NA,NA,NA,35,38,48,52,NA,NA,NA,NA,30000,32000,35000,40000,NA,NA,NA,NA,75,70,290,260
F21,1,1,1,0,0,0,5.95,5.95,5.35,NA,NA,NA,88,100,72,80,72,75,200,230,26,30,42,42,36,40,50,52,45000,48000,16000,20000,27000,32000,52000,55000,125,115,84,77,75,72,320,300
F22,4,3,3,3,2,1,3.17,3.17,4.17,3.57,4.76,2.97,NA,NA,70,75,65,72,150,180,NA,NA,35,39,35,36,50,54,NA,NA,22000,25000,28000,30000,50000,55000,NA,NA,88,82,83,75,250,220
F23,0,0,2,2,1,1,NA,NA,2.97,2.97,4.76,4.76,87,95,70,75,76,75,160,180,31,35,38,40,35,35,48,52,40000,45000,25000,28000,22000,20000,45000,48000,110,90,88,80,85,75,280,250
F24,3,3,3,3,2,0,3.17,2.77,3.57,3.57,4.76,NA,NA,NA,68,75,78,85,NA,NA,NA,NA,38,42,38,40,NA,NA,NA,NA,18000,20000,25000,25000,NA,NA,NA,NA,85,80,80,74,NA,NA
F25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,92,100,75,NA,68,72,160,180,30,34,NA,NA,40,42,48,50,35000,38000,NA,NA,22000,25000,35000,40000,120,110,NA,NA,75,70,260,220
F26,5,2,4,6,3,2,3.96,4.36,3.57,2.97,3.57,3.57,95,105,76,85,65,70,165,190,32,35,42,45,38,42,45,52,50000,55000,12000,15000,28000,30000,40000,42000,115,105,85,78,82,75,260,230
